iter	Passed	Remaining
778	1906	540
779	1908	538
780	1910	535
781	1912	533
782	1914	530
783	1920	529
784	1923	526
785	1926	524
786	1929	522
787	1931	519
788	1934	517
789	1937	515
790	1940	512
791	1942	510
792	1944	507
793	1946	505
794	1952	503
795	1956	501
796	1959	499
797	1961	496
798	1966	494
799	1968	492
800	1971	489
801	1973	487
802	1975	484
803	1978	482
804	1982	480
805	1985	477
806	1987	475
807	1990	472
808	1992	470
809	1996	468
810	2000	466
811	2003	463
812	2005	461
813	2008	458
814	2013	457
815	2016	454
816	2025	453
817	2027	451
818	2030	448
819	2033	446
820	2037	444
821	2039	441
822	2040	438
823	2042	436
824	2044	433
825	2046	431
826	2047	428
827	2054	426
828	2059	424
829	2062	422
830	2066	420
831	2070	418
832	2073	415
833	2075	413
834	2077	410
835	2079	407
836	2090	407
837	2093	404
838	2097	402
839	2100	400
840	2104	397
841	2107	395
842	2122	395
843	2125	392
844	2128	390
845	2130	387
846	2132	385
847	2134	382
848	2137	380
849	2140	377
850	2143	375
851	2146	372
852	2148	370
853	2149	367
854	2152	364
855	2164	364
856	2166	361
857	2168	358
858	2170	356
859	2173	353
860	2176	351
861	2180	349
862	2182	346
863	2184	343
864	2186	341
865	2190	338
866	2193	336
867	2196	333
868	2198	331
869	2200	328
870	2204	326
871	2207	324
872	2209	321
873	2212	318
874	2213	316
875	2215	313
876	2219	311
877	2221	308
878	2226	306
879	2235	304
880	2237	302
881	2240	299
882	2243	297
883	2253	295
884	2255	293
885	2257	290
886	2259	287
887	2266	285
888	2267	283
889	2269	280
890	2271	277
891	2273	275
892	2275	272
893	2279	270
894	2280	267
895	2282	264
896	2284	262
897	2286	259
898	2287	257
899	2289	254
900	2292	251
901	2294	249
902	2296	246
903	2298	244
904	2300	241
905	2302	238
906	2307	236
907	2308	233
908	2310	231
909	2313	228
910	2314	226
911	2316	223
912	2318	220
913	2320	218
914	2323	215
915	2326	213
916	2328	210
917	2330	208
918	2331	205
919	2333	202
920	2334	200
921	2337	197
922	2339	195
923	2340	192
924	2343	189
925	2344	187
926	2346	184
927	2348	182
928	2350	179
929	2353	177
930	2355	174
931	2356	171
932	2358	169
933	2360	166
934	2362	164
935	2364	161
936	2365	159
937	2369	156
938	2371	154
939	2373	151
940	2376	148
941	2378	146
942	2380	143
943	2384	141
944	2386	138
945	2388	136
946	2390	133
947	2393	131
948	2396	128
949	2400	126
950	2405	123
951	2409	121
952	2411	118
953	2416	116
954	2419	113
955	2421	111
956	2425	108
957	2427	106
958	2431	103
959	2433	101
960	2435	98
961	2437	96
962	2439	93
963	2441	91
964	2443	88
965	2447	86
966	2449	83
967	2450	81
968	2454	78
969	2456	75
970	2458	73
971	2463	70
972	2466	68
973	2468	65
974	2470	63
975	2472	60
976	2473	58
977	2480	55
978	2483	53
979	2485	50
980	2487	48
981	2489	45
982	2501	43
983	2512	40
984	2516	38
985	2517	35
986	2522	33
987	2533	30
988	2544	28
989	2549	25
990	2552	23
991	2555	20
992	2558	18
993	2561	15
994	2563	12
995	2568	10
996	2572	7
997	2574	5
998	2577	2
999	2581	0
